split,feature,stage,importance_mean,importance_std
1,questionnaire_latency_mean,Stage 1,0.0327407407407408,0.02200960010019821
1,questionnaire_latency_sd,Stage 1,0.005962962962963036,0.00388606599484925
1,questionnaire_interval_mean,Stage 1,0.034592592592592654,0.01989423336703385
1,questionnaire_interval_sd,Stage 1,0.03603703703703709,0.012915309234394172
1,social_notification_latency_mean,Stage 1,0.0008148148148148607,0.00743107330606487
1,social_notification_latency_sd,Stage 1,0.008518518518518562,0.012005942744312005
1,ambient_light_sd,Stage 1,0.0017407407407407983,0.004578383035619725
1,fitbit_steps_active,Stage 1,-0.0012962962962962657,0.000955096070979812
1,active_session_duration,Stage 1,0.00848148148148153,0.007000783808753126
1,new_apps_added,Stage 1,-0.0012962962962962657,0.0015203241297610279
1,scroll_interval_sd,Stage 1,0.0011111111111111664,0.006873339679799728
1,tap_interval_sd,Stage 1,0.013555555555555614,0.007510760456421515
1,dwell_time_sd,Stage 1,0.0013333333333333715,0.01584752450453416
1,idle_interval_sd,Stage 1,0.0023703703703704003,0.001808378609738312
1,session_fragmentation,Stage 1,0.001629629629629692,0.0020833127571000315
1,pst_fixation_duration,Stage 2,0.0005925925925926186,0.001897221996276388
1,ast_saccade_time_max,Stage 2,0.0,0.0
1,mgst_saccade_degree_total,Stage 2,-0.00011111111111110628,0.00033333333333331885
1,mgst_saccade_degree_mean,Stage 2,0.00029629629629635744,0.0012808604789474513
1,mgst_saccade_time_max,Stage 2,0.00033333333333336325,0.0020112850344274733
1,mgst_fixation_time_max,Stage 2,0.01274074074074079,0.006270535536316546
1,mgst_fixation_mean,Stage 2,0.0016666666666667349,0.007583553788682685
1,mgst_saccade_latency_total,Stage 2,0.004703703703703743,0.002655583965961995
1,mgst_saccade_duration,Stage 2,0.009185185185185234,0.005381979788812648
1,cdt_saccade_degree_sd,Stage 2,0.002370370370370423,0.003216896407497555
1,stroop_saccade_degree_mean,Stage 2,0.0,0.0
1,stroop_screen_duration_mean,Stage 2,-0.00044444444444440657,0.0013638483436682856
1,stroop_saccade_latency_total,Stage 2,0.001888888888888914,0.0017249082995844454
2,questionnaire_latency_mean,Stage 1,0.028629629629629658,0.01072546806880354
2,questionnaire_latency_sd,Stage 1,0.008259259259259296,0.004605269243062482
2,questionnaire_interval_mean,Stage 1,0.03966666666666671,0.018253248202959593
2,questionnaire_interval_sd,Stage 1,0.017444444444444474,0.00812023839581935
2,social_notification_latency_mean,Stage 1,0.00422222222222225,0.00806557486744663
2,social_notification_latency_sd,Stage 1,0.02544444444444447,0.0096111646326919
2,ambient_light_sd,Stage 1,0.006296296296296322,0.006013245553363671
2,fitbit_steps_active,Stage 1,0.0006296296296296207,0.0013961538388867426
2,active_session_duration,Stage 1,-0.009777777777777752,0.012747629489954936
2,new_apps_added,Stage 1,0.0012962962962962954,0.0014651881811001775
2,scroll_interval_sd,Stage 1,0.012740740740740759,0.00770192287108931
2,tap_interval_sd,Stage 1,0.02048148148148152,0.012576296645331863
2,dwell_time_sd,Stage 1,0.019296296296296325,0.008312236670334214
2,idle_interval_sd,Stage 1,0.003481481481481489,0.0057501714652074985
2,session_fragmentation,Stage 1,0.002777777777777853,0.0015112745009706384
2,pst_fixation_duration,Stage 2,0.002888888888888948,0.0023412563895228345
2,ast_saccade_time_max,Stage 2,0.00022222222222223476,0.0004444444444444695
2,mgst_saccade_degree_total,Stage 2,-0.005185185185185152,0.0045481722764470515
2,mgst_saccade_degree_mean,Stage 2,0.0008518518518518407,0.0006839327893562718
2,mgst_saccade_time_max,Stage 2,-0.00022222222222224587,0.001327146138308826
2,mgst_fixation_time_max,Stage 2,0.008814814814814857,0.006119074497203957
2,mgst_fixation_mean,Stage 2,0.0025555555555556108,0.0030109539387707745
2,mgst_saccade_latency_total,Stage 2,0.0018518518518518823,0.002756710231989393
2,mgst_saccade_duration,Stage 2,0.00874074074074079,0.005388093361161004
2,cdt_saccade_degree_sd,Stage 2,-0.0006666666666666932,0.0013333333333333463
2,stroop_saccade_degree_mean,Stage 2,0.0026666666666667173,0.004133572275052952
2,stroop_screen_duration_mean,Stage 2,-3.703703703697991e-05,0.004665637746652691
2,stroop_saccade_latency_total,Stage 2,0.012814814814814864,0.0065025055844013776
3,questionnaire_latency_mean,Stage 1,0.022370370370370315,0.011677185146654372
3,questionnaire_latency_sd,Stage 1,0.0020370370370369818,0.0038068957719356515
3,questionnaire_interval_mean,Stage 1,0.023666666666666628,0.013958050024764454
3,questionnaire_interval_sd,Stage 1,0.02229629629629624,0.011203076199139727
3,social_notification_latency_mean,Stage 1,0.005037037037037021,0.0036933187740201177
3,social_notification_latency_sd,Stage 1,0.016703703703703658,0.015141264396249972
3,ambient_light_sd,Stage 1,0.002666666666666632,0.006870944370551247
3,fitbit_steps_active,Stage 1,0.001333333333333331,0.002697354289782717
3,active_session_duration,Stage 1,0.013333333333333282,0.008205187559139538
3,new_apps_added,Stage 1,-0.0003333333333333558,0.006305983832738961
3,scroll_interval_sd,Stage 1,0.006148148148148107,0.005478978407474775
3,tap_interval_sd,Stage 1,0.01785185185185181,0.012181525961879542
3,dwell_time_sd,Stage 1,0.006740740740740684,0.010821915477184994
3,idle_interval_sd,Stage 1,-0.0008888888888889464,0.0078010234635071465
3,session_fragmentation,Stage 1,0.0015185185185185004,0.0012333945040997436
3,pst_fixation_duration,Stage 2,3.7037037037035424e-05,0.0007848007444598581
3,ast_saccade_time_max,Stage 2,-0.0008888888888889131,0.0026973542897827116
3,mgst_saccade_degree_total,Stage 2,0.0024074074074073876,0.004766855157572801
3,mgst_saccade_degree_mean,Stage 2,0.0,0.0
3,mgst_saccade_time_max,Stage 2,-0.0006296296296296615,0.0049414958610027445
3,mgst_fixation_time_max,Stage 2,0.01733333333333327,0.009043106644167038
3,mgst_fixation_mean,Stage 2,0.0024814814814814548,0.0017375857934429455
3,mgst_saccade_latency_total,Stage 2,-0.0032962962962963527,0.005270332630457522
3,mgst_saccade_duration,Stage 2,0.0015925925925925825,0.004823496446543904
3,cdt_saccade_degree_sd,Stage 2,-0.011111111111111164,0.005907378381445022
3,stroop_saccade_degree_mean,Stage 2,0.0023333333333333097,0.0044569269155848
3,stroop_screen_duration_mean,Stage 2,-0.0007777777777777624,0.0008678055195451769
3,stroop_saccade_latency_total,Stage 2,0.0050740740740740755,0.0034981868711462033
4,questionnaire_latency_mean,Stage 1,0.015407407407407392,0.014412309934240367
4,questionnaire_latency_sd,Stage 1,0.0015925925925925454,0.002835450673396031
4,questionnaire_interval_mean,Stage 1,0.023185185185185173,0.01754648929826424
4,questionnaire_interval_sd,Stage 1,0.02344444444444441,0.014850004503193109
4,social_notification_latency_mean,Stage 1,0.008148148148148123,0.010013708025626492
4,social_notification_latency_sd,Stage 1,0.006370370370370367,0.012342616904202103
4,ambient_light_sd,Stage 1,0.0,0.0
4,fitbit_steps_active,Stage 1,-3.7037037037035424e-05,0.002492512793835746
4,active_session_duration,Stage 1,0.0001851851851851586,0.012505417207498816
4,new_apps_added,Stage 1,-0.0005925925925926223,0.0007978021936495679
4,scroll_interval_sd,Stage 1,0.006518518518518502,0.0037595785305035573
4,tap_interval_sd,Stage 1,0.009148148148148147,0.01404485270542722
4,dwell_time_sd,Stage 1,0.01981481481481479,0.017948447743636086
4,idle_interval_sd,Stage 1,0.0017407407407407465,0.012654585965307623
4,session_fragmentation,Stage 1,0.0,0.0
4,pst_fixation_duration,Stage 2,0.0,0.0
4,ast_saccade_time_max,Stage 2,-0.0010740740740741088,0.002573740985643217
4,mgst_saccade_degree_total,Stage 2,-0.0015185185185185375,0.007024257401597388
4,mgst_saccade_degree_mean,Stage 2,-0.0012222222222222504,0.001444444444444438
4,mgst_saccade_time_max,Stage 2,-0.004481481481481523,0.004504075277069512
4,mgst_fixation_time_max,Stage 2,-0.0004444444444444621,0.008518196451238545
4,mgst_fixation_mean,Stage 2,-0.00033333333333335213,0.0017486032050537499
4,mgst_saccade_latency_total,Stage 2,-0.004518518518518529,0.006541625710862326
4,mgst_saccade_duration,Stage 2,0.007074074074074051,0.004889590297608144
4,cdt_saccade_degree_sd,Stage 2,-0.0032592592592592803,0.006238954574591271
4,stroop_saccade_degree_mean,Stage 2,-0.008888888888888913,0.0051719407569514615
4,stroop_screen_duration_mean,Stage 2,0.0,0.0
4,stroop_saccade_latency_total,Stage 2,-0.0009629629629629839,0.005523860203704348
