split,feature,stage,coefficient,absolute_coefficient
1,questionnaire_latency_mean,Stage 1,0.8826496591492309,0.8826496591492309
1,questionnaire_latency_sd,Stage 1,0.3451851723209255,0.3451851723209255
1,questionnaire_interval_mean,Stage 1,1.0497868670717454,1.0497868670717454
1,questionnaire_interval_sd,Stage 1,1.1197960195711105,1.1197960195711105
1,social_notification_latency_mean,Stage 1,1.1217208929239109,1.1217208929239109
1,social_notification_latency_sd,Stage 1,1.006767626647832,1.006767626647832
1,ambient_light_sd,Stage 1,0.7542438432157409,0.7542438432157409
1,fitbit_steps_active,Stage 1,0.6736913581605078,0.6736913581605078
1,active_session_duration,Stage 1,0.47215998436613826,0.47215998436613826
1,new_apps_added,Stage 1,0.21898042887453836,0.21898042887453836
1,scroll_interval_sd,Stage 1,0.7430660703863265,0.7430660703863265
1,tap_interval_sd,Stage 1,0.5210511916246212,0.5210511916246212
1,dwell_time_sd,Stage 1,1.1348861201307916,1.1348861201307916
1,idle_interval_sd,Stage 1,0.32838494280539493,0.32838494280539493
1,session_fragmentation,Stage 1,-0.16163596113088954,0.16163596113088954
1,pst_fixation_duration,Stage 2,-0.4278244067080336,0.4278244067080336
1,ast_saccade_time_max,Stage 2,-0.2830816310634632,0.2830816310634632
1,mgst_saccade_degree_total,Stage 2,0.269808679003631,0.269808679003631
1,mgst_saccade_degree_mean,Stage 2,0.3260857373513673,0.3260857373513673
1,mgst_saccade_time_max,Stage 2,-0.007895696609029217,0.007895696609029217
1,mgst_fixation_time_max,Stage 2,-0.3641390516574073,0.3641390516574073
1,mgst_fixation_mean,Stage 2,-0.6107324436509175,0.6107324436509175
1,mgst_saccade_latency_total,Stage 2,-0.172293245966566,0.172293245966566
1,mgst_saccade_duration,Stage 2,0.710456509307175,0.710456509307175
1,cdt_saccade_degree_sd,Stage 2,-0.3317490159473391,0.3317490159473391
1,stroop_saccade_degree_mean,Stage 2,0.13085407649543504,0.13085407649543504
1,stroop_screen_duration_mean,Stage 2,0.3877199471203874,0.3877199471203874
1,stroop_saccade_latency_total,Stage 2,0.5720685597536352,0.5720685597536352
2,questionnaire_latency_mean,Stage 1,0.5852633312536836,0.5852633312536836
2,questionnaire_latency_sd,Stage 1,0.5201203510348839,0.5201203510348839
2,questionnaire_interval_mean,Stage 1,0.5370491154681316,0.5370491154681316
2,questionnaire_interval_sd,Stage 1,1.2625208606781622,1.2625208606781622
2,social_notification_latency_mean,Stage 1,1.0115014124180393,1.0115014124180393
